doc_id,protect,exeed_limit,logout,query,correct,delete,repeal,recommand,aging,storage_region,storage_time,subject,data,purpose,explain,result
520,1,0,1,1,1,1,1,0,1,1,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), User Portrait (UP), Data Retention Period (DRP), User Portrait (UP)",False
521,1,0,1,0,0,1,0,0,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), User Portrait (UP), Policy Duration (PD)",False
522,1,1,1,0,0,1,1,0,0,0,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Rectify (RR), User Portrait (UP), Data Retention Region (DRR), User Portrait (UP), Policy Duration (PD)",False
523,1,1,1,1,1,1,1,1,1,1,0,1,1,1,不合规，缺少Data Retention Period (DRP),False
524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
526,1,1,1,1,1,1,1,0,1,0,1,1,1,1,"不合规，缺少User Portrait (UP), Data Retention Region (DRR), User Portrait (UP)",False
527,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
528,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
530,1,1,1,1,1,1,0,1,1,1,1,1,1,1,不合规，缺少Right to Withdraw (RW),False
531,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
532,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
534,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
535,1,0,1,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
537,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"不合规，缺少Right to Withdraw (RW), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
538,1,1,0,0,1,1,0,0,0,0,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
539,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
541,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
542,1,1,1,1,1,1,1,0,1,0,1,1,1,1,"不合规，缺少User Portrait (UP), Data Retention Region (DRR), User Portrait (UP)",False
543,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
546,1,1,1,0,1,1,1,0,0,1,1,1,1,1,"不合规，缺少Right to Access (RA), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
547,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
549,1,1,1,0,1,0,1,0,0,0,0,1,1,1,"不合规，缺少Right to Access (RA), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
550,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
551,1,1,1,0,0,1,1,1,1,1,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Rectify (RR)",False
554,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
555,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
556,1,1,1,1,1,1,1,1,1,0,1,1,1,1,不合规，缺少Data Retention Region (DRR),False
557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
559,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
560,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
562,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
565,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
566,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
567,1,1,1,1,1,1,1,1,0,1,0,1,1,1,"不合规，缺少Data Retention Period (DRP), Policy Duration (PD)",False
569,1,0,0,1,1,1,0,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
570,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"不合规，缺少User Portrait (UP), Data Retention Region (DRR), User Portrait (UP), Policy Duration (PD)",False
571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
573,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
574,1,0,1,1,1,1,0,1,1,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR)",False
575,1,1,0,1,1,1,1,1,1,1,1,1,1,1,不合规，缺少Right to Account Cancellation (RAC),False
576,1,0,1,0,0,1,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
577,1,0,1,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Policy Duration (PD)",False
578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
580,1,0,1,1,1,1,1,1,1,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR)",False
581,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
583,1,0,1,1,1,1,1,1,1,1,1,1,1,1,不合规，缺少Overdue Processing Method (OPM),False
584,1,1,0,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Right to Account Cancellation (RAC), Policy Duration (PD)",False
585,1,1,1,1,1,1,0,1,0,0,1,1,1,1,"不合规，缺少Right to Withdraw (RW), Data Retention Region (DRR), Policy Duration (PD)",False
586,1,1,1,1,1,1,1,1,1,0,1,1,1,1,不合规，缺少Data Retention Region (DRR),False
588,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
589,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
590,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
592,1,0,0,0,0,1,1,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
593,1,0,0,0,0,0,0,0,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
594,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Policy Duration (PD)",False
595,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
596,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
597,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
598,1,0,1,0,1,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
599,1,0,1,1,1,1,1,0,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
601,1,1,1,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Data Retention Region (DRR), Policy Duration (PD)",False
602,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
604,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), Policy Duration (PD)",False
605,0,0,0,0,1,0,0,1,0,0,0,1,1,1,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Delete (RD), Right to Withdraw (RW), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), Policy Duration (PD)",False
606,1,0,0,1,1,1,0,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
607,1,1,1,1,1,1,0,0,1,1,1,1,1,1,"不合规，缺少Right to Withdraw (RW), User Portrait (UP), User Portrait (UP)",False
608,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
609,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
610,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
611,1,0,0,1,1,1,1,1,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), Policy Duration (PD)",False
612,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
613,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
614,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
615,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
617,1,0,1,1,1,1,1,1,1,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR)",False
618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
619,1,1,1,0,1,1,0,0,0,1,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Withdraw (RW), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
621,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
624,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
626,1,1,1,0,1,1,1,0,0,1,1,1,1,1,"不合规，缺少Right to Access (RA), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
630,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
632,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
634,1,0,0,1,1,1,1,1,1,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Account Cancellation (RAC)",False
635,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Policy Duration (PD)",False
637,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
638,1,1,1,1,1,1,1,1,1,0,1,1,1,1,不合规，缺少Data Retention Region (DRR),False
639,1,1,1,1,1,0,0,1,0,1,1,1,1,1,"不合规，缺少Right to Delete (RD), Right to Withdraw (RW), Policy Duration (PD)",False
640,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
642,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
643,1,0,0,0,0,0,0,1,0,1,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), Data Retention Period (DRP), Right to Account Cancellation (RAC), Policy Duration (PD)",False
644,1,0,0,1,1,1,0,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
645,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
646,1,1,1,0,0,1,0,0,0,1,0,1,1,1,"不合规，缺少Right to Access (RA), Right to Rectify (RR), Right to Withdraw (RW), User Portrait (UP), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
648,1,0,0,1,1,0,1,0,1,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Delete (RD), User Portrait (UP), Right to Account Cancellation (RAC), User Portrait (UP)",False
649,1,1,1,1,1,1,0,1,0,1,1,1,1,1,"不合规，缺少Right to Withdraw (RW), Policy Duration (PD)",False
650,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
651,1,0,0,1,1,1,0,1,0,0,1,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
653,1,1,1,1,1,1,1,1,1,0,1,1,1,1,不合规，缺少Data Retention Region (DRR),False
654,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
655,1,0,0,1,1,1,1,1,1,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Account Cancellation (RAC)",False
656,1,1,0,0,0,0,0,0,0,0,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
658,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
659,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Policy Duration (PD)",False
660,1,1,0,1,1,1,1,1,1,1,1,1,1,1,不合规，缺少Right to Account Cancellation (RAC),False
662,1,1,0,0,1,1,0,0,0,0,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
663,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
664,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
665,1,0,0,1,1,1,0,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Right to Account Cancellation (RAC), Policy Duration (PD)",False
666,1,1,1,0,1,0,1,1,1,1,1,1,1,1,"不合规，缺少Right to Access (RA), Right to Delete (RD)",False
667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
668,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
670,1,0,0,0,1,1,1,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
671,1,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
672,1,0,1,1,1,1,1,0,1,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), User Portrait (UP), Data Retention Region (DRR), User Portrait (UP)",False
673,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
675,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"不合规，缺少Right to Withdraw (RW), User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
678,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
679,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
680,1,0,1,0,0,0,0,0,0,0,0,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), User Portrait (UP), Policy Duration (PD)",False
681,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
684,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
685,1,1,1,1,1,1,1,0,0,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP), Policy Duration (PD)",False
686,1,0,0,1,1,1,0,1,0,0,1,0,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Withdraw (RW), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
687,0,0,0,0,0,0,0,1,0,1,0,0,1,1,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), Data Retention Period (DRP), Right to Account Cancellation (RAC), Policy Duration (PD)",False
688,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
690,1,0,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), User Portrait (UP), User Portrait (UP)",False
691,1,0,0,1,1,1,1,1,1,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Account Cancellation (RAC)",False
692,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"不合规，缺少Personal Information Protection (PIP), Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
693,1,0,1,1,1,1,1,1,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Data Retention Period (DRP), Policy Duration (PD)",False
696,1,0,0,1,1,1,1,1,0,1,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Account Cancellation (RAC), Policy Duration (PD)",False
701,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
702,1,0,0,1,1,1,1,1,0,0,1,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Data Retention Region (DRR), Right to Account Cancellation (RAC), Policy Duration (PD)",False
703,1,1,1,1,1,1,0,0,1,1,1,1,1,1,"不合规，缺少Right to Withdraw (RW), User Portrait (UP), User Portrait (UP)",False
705,1,1,1,1,1,1,1,1,0,1,1,1,1,1,不合规，缺少Policy Duration (PD),False
707,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"不合规，缺少Right to Access (RA), Data Retention Region (DRR)",False
709,1,0,0,0,1,1,0,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Withdraw (RW), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
710,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"不合规，缺少User Portrait (UP), User Portrait (UP)",False
711,1,1,1,1,1,1,1,1,0,1,0,1,1,1,"不合规，缺少Data Retention Period (DRP), Policy Duration (PD)",False
713,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
714,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"不合规，缺少Overdue Processing Method (OPM), Right to Access (RA), Right to Rectify (RR), Right to Delete (RD), User Portrait (UP), Data Retention Region (DRR), Data Retention Period (DRP), Right to Account Cancellation (RAC), User Portrait (UP), Policy Duration (PD)",False
715,1,1,1,1,1,1,1,0,1,0,1,1,1,1,"不合规，缺少User Portrait (UP), Data Retention Region (DRR), User Portrait (UP)",False
716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,合规,True
